taxon	p	effect_size_r	log2FC	padj
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	5.615550430493468e-10	-0.2847	1.2669	2.0721381088520898e-07
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	5.615550430493468e-10	-0.2847	1.2669	2.0721381088520898e-07
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	4.3592060205535907e-10	-0.2652	1.7006	2.0721381088520898e-07
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.113994847694879e-09	0.2797	-0.3844	3.0829807409955774e-07
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2.2940096581965884e-09	0.2742	-0.6324	5.078937383247247e-07
k__Bacteria|p__Actinobacteria	9.79431547342835e-09	-0.2633	0.8627	1.5489010327264547e-06
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	9.321499669207456e-09	-0.2099	0.3873	1.5489010327264547e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	2.2971903980384958e-08	-0.2157	1.5432	3.1787372132857685e-06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	2.654393971550109e-08	0.2552	-0.8362	3.2649045850066334e-06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	1.1721723056680452e-07	-0.2427	0.6457	1.2975947423745261e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.5449488456422332e-07	-0.228	1.9248	1.55478033829632e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2.0737048564262748e-07	-0.225	1.8111	1.9129927300532384e-05
k__Bacteria|p__Firmicutes|c__Clostridia	3.6409005403347915e-07	0.2335	-0.2649	2.8789120701075814e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.6409005403347915e-07	0.2335	-0.2649	2.8789120701075814e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium	6.452858154398641e-07	-0.1041	7.404	4.762209317946197e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	1.0633028746436359e-06	0.2188	-1.0654	7.356726763940656e-05
